mt_main_poi_id	mt_poi_cate3_name	poi_name	brand_name
4181379	其他火锅	巴蜀火锅（迎宾大道店）	巴蜀火锅 
4181409	其他烧烤	大鹏烧烤	大鹏烧烤 
4181454	其他火锅	新珠城鱼坊	新珠城鱼坊 
1141317	其他烧烤	重庆刘一手火锅	重庆刘一手火锅 
4181929	其他火锅	重庆鸡公煲（上社店）	重庆鸡公煲 
772859	其他火锅	荣胜和天鹅火锅	荣胜和天鹅火锅 
4182484	其他火锅	喜临门火锅	喜临门火锅 
4182539	其他烧烤	王妈手撕烤兔（长青商业街店）	王妈手撕烤兔 
69645851	其他烧烤	一品布衣汤烤锅王	一品布衣汤烤锅王 
61380179	其他烧烤	美人制造特色烤猪蹄（金源购物中心店）	北京特色烤猪蹄 
4184049	其他日本菜	天万和食料理店（石景山万达店）	天万和食料理 
4184479	其他火锅	一品小肥羊	一品小肥羊 
2477911	其他烧烤	万州烤鱼	万州烤鱼 
4184594	其他自助餐	汉乐轩一涮一烤	汉乐轩 
4193615	其他烧烤	1977烤肉	1977烤肉 
4185294	其他火锅	朝天门火锅（京东店）	朝天门 
4186009	其他火锅	王婆大虾总店（长虹店）	王婆大虾 
1427607	其他火锅	重庆德庄火锅（三里庵店）	重庆德庄火锅 
4186959	其他火锅	杨国福麻辣烫	杨国福麻辣烫 
4187154	其他西餐	Lunarich露娜利奇意大利餐厅（城西银泰店）	lunarich露娜利奇意大利餐厅 
4187329	其他日本菜	N多寿司（月浜街都店）	N多寿司 
4187369	其他烧烤	张姐烤肉拌饭	张姐烤肉拌饭 
4188539	其他西餐	东方豪客（迎宾广场店）	东方豪客 
84606718	其他烧烤	疯狂烤翅	疯狂烤翅 
4188814	其他火锅	泡泡火锅（长征东街店）	泡泡火锅 
4189009	其他火锅	重庆桥头火锅	桥头火锅 
4189099	其他火锅	重庆九记火锅（五一路店）	重庆九记火锅 
4189664	其他火锅	荷鳅塘徽派火锅（淮北店）	荷鳅塘徽派火锅 
4189709	其他烧烤	思烤烤肉专门店	思烤烤肉 
4189824	其他烧烤	铁板鱿鱼（西城店）	铁板鱿鱼 
4191539	其他自助餐	青牧香	青牧香 
4191999	其他烧烤	胖子烧烤（振兴路店）	胖子烧烤 
4192504	其他火锅	山坡羊	山坡羊 
4193644	其他日本菜	川町太郎（黄河路店）	川町太郎 
4194189	其他日本菜	千寻寿司（司门口店）	千寻寿司 
4194704	其他西餐	扬叔果木牛扒西餐厅	扬叔牛扒 
4195234	其他火锅	重庆鸡公煲（安溪店）	重庆鸡公煲 
2120021	其他日本菜	寿鲜亭（凯虹店）	寿鲜亭 
4195509	其他烧烤	老宋家海兰云天烤全羊（小苑店）	老宋家海兰云天 
4196374	其他火锅	兔留香火锅	兔留香 
4196399	其他火锅	四川火锅	四川火锅 
4196734	其他火锅	重庆齐齐火锅（清真）	齐齐火锅 
4197134	其他烧烤	隆发牧羊人（铁西店）	隆发牧羊人 
4197304	其他火锅	冒牌火锅菜	冒牌火锅菜 
4197339	其他火锅	德庄火锅（巢湖店）	重庆德庄火锅 
4197369	其他火锅	香辣诱惑	香辣诱惑 
4197944	其他日本菜	7982料理中心（老报馆店）	7982料理中心 
4198254	其他火锅	缘生泰火锅（雾凇路店）	缘生泰火锅 
4198434	其他自助餐	我家牛排自助餐厅（燕山银座店）	我家牛排 
4198914	其他自助餐	银鲨国际美食百汇（万州店）	银鲨国际美食百汇 
4199079	其他火锅	重庆鸡公煲	重庆鸡公煲 
4199659	其他自助餐	我们烤肉吧	我们烤肉吧 
4200049	其他西餐	肯尼罗杰斯（龙岗万科店）	肯尼罗杰斯 
4200789	其他烧烤	新石器烤肉（印象城店）	新石器烤肉 
4201144	其他火锅	楼外楼大刀肉传统火锅居	楼外楼 
4201349	其他西餐	七寸光	七寸光 
4201574	其他西餐	必胜客（金沙湾广场店）	必胜客 
4677671	其他自助餐	金釜川韩式自助烤肉	金釜川韩式自助烤肉 
4202319	其他火锅	一品布衣汤烤锅王	一品布衣汤烤锅王 
4202369	其他火锅	虾巢香辣虾（蒙城店）	虾巢香辣虾 
4202524	其他火锅	虾客行香辣虾（邯郸总店）	虾客行 
4202574	其他火锅	姥家大锅台（总店）	姥家大锅台 
4202829	其他自助餐	韩中阁无限量自助烤肉	韩中阁·无限量自助烤肉 
4202844	其他烧烤	小青年主题酒店	小青年烧烤 
4203379	其他火锅	重庆味忆老火锅	重庆九宫格火锅 
4203729	其他火锅	好德火锅	好德火锅 
4203999	其他火锅	竹园村火锅	竹园村火锅 
4676304	其他自助餐	韩一自助烤肉火锅披萨	韩一自助烤肉火锅 
4205104	其他火锅	香逸火锅（虹口店）	香逸火锅 
4205474	其他西餐	佳客来（平潭店）	佳客来 
4205509	其他烧烤	方燕烤蹄	方燕烤猪蹄 
4206374	其他烧烤	鞑鞑烤羊腿	鞑靼烤羊腿 
4206904	其他西餐	佳客来（一店）	佳客来 
4380813	其他火锅	佈麻佈辣精品冒菜	佈麻佈辣精品冒菜 
4210189	其他日本菜	N多寿司	N多寿司 
4212004	其他火锅	虾巢香辣虾	虾巢香辣虾 
4212804	其他火锅	重庆乡水源火锅（桃源店）	乡水源火锅 
1278454	其他火锅	福成肥牛（中餐部）	福成肥牛 
61141908	其他烧烤	方燕烤猪蹄（尚都购物中心店）	方燕烤猪蹄 
4216619	其他火锅	喜洋洋火锅（清徐店）	喜洋洋火锅 
4642145	其他烧烤	方燕烤猪蹄（义驾山店）	方燕烤猪蹄 
4216799	其他火锅	趣捞	趣捞全球料理小火锅 
4217374	其他火锅	阿香婆欢乐火锅	阿香婆欢乐火锅 
4217469	其他火锅	老地方火锅	 老地方火锅 
4218234	其他日本菜	千羽寿司（塘厦万科店）	千羽寿司 
4219424	其他烧烤	80后烤吧（金陵东路店）	80后烤吧 
4219984	其他火锅	铁锅烀羊肉（学府路总店）	铁锅烀羊肉 
5382570	其他烧烤	自然味烤全羊	自然味烤全羊 
4221094	其他火锅	美味人生涮涮锅（丽水店）	美味人生 
4221554	其他烧烤	烤冷面	烤冷面 
4221879	其他烧烤	新石器烤肉（东川路欧尚店）	新石器烤肉 
4222104	其他火锅	金华格红河干锅旱鸭（学府路店）	金华格红河干锅旱鸭 
4222194	其他日本菜	樂寿司（硒都茶城店）	乐寿司 
4222574	其他火锅	OPPA神起年糕火锅（SOHO现代城店）	oppa神起 
4222994	其他火锅	街坊小厨（香雪路店）	街坊小厨 
4223249	其他西餐	桂三秋	桂三秋 
