mt_main_poi_id	mt_poi_cate2_id	mt_poi_cate3_id	poi_name
111512541	2165	1988	Marcilio Ferreira Costa
111512621	184	2124	回味鸡（脆皮鸡饭）
111512636	201	244	惜缘火锅店
111512691	257	666	天天海鲜生食店
111512701	184	2124	Sorveteria E Docaria Sheknah
111512766	10	2088	杨氏龙虾
111512776	255	661	天天保健品
111512801	10	1955	毛记嘴嘴香冒菜
111512831	10	2095	胖妹鲜卤店
111512856	10	183	品位面馆
111512871	184	2124	阑棠
111512956	184	2124	Cicle Lanche
111512996	257	666	如亿干鲜肉
111513021	184	2124	Sayed Abou Ahmed Kababgy
111513031	309	2016	Borbulhas Chopperia & Steakhouse
111513056	255	258	好好吃食品店（上饶师院店）
111513061	184	2124	Panificadora San Honorato de Daimiel
111513086	184	2124	Bufett Killo' S
111513111	184	2124	Pabrik Tahu 272
111513191	257	665	水果篮子进口水果店
111513196	309	2016	McDonald's
111513231	249	179	甜颂手工烘焙（北国商城店）
111513256	184	2124	Panificadora Fama
111513261	184	2124	Maria Bonita
111513281	249	1900	Rajuize
111513286	184	2124	W.M Lanchonete
111513311	257	667	莎浓羊奶
111513326	309	2016	La Boite a Pizza
111513351	184	2124	Costa Lanta Restaurant
111513366	2165	1988	CAFETERIA EL CAFE
111513391	2164	120	谢师烧鸭店
111513411	184	2124	Club 21 Restaurant
111513431	184	2124	Panificadora E Confeitaria Lisboa
111513436	10	11	鸡老大
111513541	184	2124	Tapioca Joe
111513551	249	12	新新园饼店（上坡店）
111513591	202	8	国家电网24小时自助服务厅（长春绿园供电营业厅）
111513716	309	2016	Pizzeria Venezia
111513761	184	2124	Polar Bear
111513786	257	665	水果屋
111513806	201	241	骨头爱上鱼
111513826	184	2124	Ispanskiy Letchik Taverna
111513906	184	2124	Rigacci dal 1948
111513916	184	2124	Maria Brasilia Bueno Bar
111513951	30	1911	天鲜岛有机健康餐厅
111513961	184	2124	CLa Restaurante
111514036	184	2124	Restaurante San Julian's
111514041	10	183	枭涵府酱骨头抻面馆
111514051	257	666	胖姐水产（紫阳路）
111514071	201	1925	老锦记潮汕牛肉馆（惠东店）
111514161	184	2124	Rocket Joe's
111514196	184	2124	Craticulum Organizacji
111514201	257	666	林记水产
111514241	309	20	Pizzeria Siesta
111514251	10	2109	烩灵顿牛排杯
111514256	184	2124	Tao Goa
111514331	2165	1988	前方大荒野
111514346	184	2124	小珍美食店
111514431	184	236	Asia Restaurant
111514436	257	667	大地粮油干货商行
111514501	184	2124	Luis & Rodrigues
111514516	10	2109	Burger King
111514531	229	2003	李庄白肉（果壳里店）
111514571	10	2090	绝卤洪濑鸡爪
111514611	23	2042	海鮮蒸気鍋　かごみ ーKAGOMIー　上野駅前店
111514701	255	258	囍结良缘婚嫁专卖
111514706	308	248	Hitching Post Restaurant
111514726	2165	1988	Cafe Conosco
111514766	184	2124	Stephany Lanches
111514781	249	1900	Bonde AF Österlen
111514856	184	2124	Rendezvous
111514881	255	258	Mahadev Sweets And Namkeen
111514901	10	11	食客外卖
111514921	257	667	花桥张菜市场
111514936	184	2124	Pavillon 67
111514951	2165	13	零度冷饮批发部
111514986	10	2090	奇味酸辣泡鸭爪
111514996	10	2109	比家美小吃
111515011	184	2124	Aladdin
111515016	2165	2110	世界茶饮
111515031	202	173	香榭
111515046	184	2124	Ponto G
111515081	257	665	橙馨果园
111515141	10	11	竹园生煎铺
111515156	249	12	艾菲尔千层蛋糕
111515161	184	2124	Castelo Do Funk
111515221	184	236	Food Nation Bristol
111515231	257	667	刘土生干蔬海味经营部
111515241	257	666	康沅味冷鲜肉
111515251	184	2124	El Toro Mambo
111515281	255	258	蜜蜂堂（安阳店）
111515341	184	2124	Reformhaus Christiane Worthoff
111515351	184	2124	Yoos
111515486	2165	1988	May Day Bookstore Cafe
111515491	184	2124	Panificadora Pao Dourado
111515501	309	2066	青建橄榄城1栋
111515571	257	667	洪记双屿粮油批发部
111515576	184	2124	Lebo Mariusz Leszczyski Jerzy Bogucki
111515586	23	2042	Wasabi
111515656	309	2016	Subway
