mt_main_poi_id	mt_poi_cate2_id	mt_poi_cate3_id	poi_name
93099896	2164	2051	有家鱼饭馆
93099911	255	258	路增昌鲜菜批发
93099921	184	2124	Ｄａｂｂｌｅ
93099941	201	244	金利牛筋煲猪筋煲火锅城
93099951	303	303	大碗饸烙面
93099961	315	383	特色烤肉拌饭（正大商业街）
93099996	257	666	郑波鲜肉店
93100001	184	2124	食园饭庄
93100061	257	666	玉波蔬菜直销行
93100081	23	2042	浅野屋
93100126	184	2124	欧飞水产调味批零
93100151	308	245	宝翔欧新加坡卤肉坊
93100176	229	2002	叶记老谢酸菜鱼土菜馆
93100201	23	2042	味の時計台 
93100301	10	11	味美哒可丽饼
93100381	249	12	红木屋蛋糕坊（桥头提货点）
93100386	10	11	多客餐饮（宝龙店）
93100431	184	2124	信阳小馆子
93100456	184	236	Horaiken
93100511	184	2124	Lounge Aquamarine
93100536	10	183	舜食坊木桶饭木桶面自选快餐
93100581	10	11	飞记小食堂
93100586	10	2109	忆秦园（昆城广场店）
93100601	30	1911	香林园饭店
93100631	10	2109	藏家小吃店
93100641	255	258	小叶机电商行
93100691	257	667	兴泽菜果店
93100706	10	1943	肥姨馒头店
93100721	184	2124	泉阳大杂庄
93100746	23	2042	鮨飛脚魚房一・武東店
93100756	10	251	一碗粥
93100786	10	11	168汤包
93100791	257	666	南洋水产批发
93100846	184	2124	月光排挡
93100856	229	2003	烧鸡酒家
93100896	184	2124	3号公车
93100926	184	2124	温氏牛奶
93101006	10	183	镇江锅盖面
93101016	255	258	龙记海味
93101051	229	2003	重庆小厨
93101061	184	2124	Asahi Beer Oyamazaki villa
93101066	30	1911	盛威饭店
93101071	255	258	狐井屋
93101091	10	2109	鲜鲜爽口早晚点
93101096	2165	13	天冰冰淇淋
93101106	315	383	长子夜宵烧烤
93101191	10	183	山野菜杂面条
93101231	10	2109	黄金脆皮玉米（商丘总店）
93101241	23	2042	中松屋旅館
93101246	10	1943	庆元包子
93101301	249	179	Mister Donut, Yabase Paburi Shop
93101316	184	2124	芦ノ牧ドライブイン
93101326	2166	35	云南过桥米线
93101331	184	2124	上味人家
93101336	315	383	聚朋烧烤
93101356	10	11	银座食堂
93101376	10	2109	みんみんラーメン本店
93101386	315	220	那坡老字号妈贵烧烤店
93101391	255	258	玉季春
93101411	10	1952	林长海全羊
93101416	10	2082	老李饺子馆
93101451	184	2124	島洋商会
93101501	2164	2045	川乡味家常菜
93101521	10	1948	百士莱酸辣粉
93101546	315	383	Ushikoi
93101561	201	241	翻滚石锅鱼
93101601	10	2109	英福冻粑铺
93101631	10	1951	三毛米线
93101636	249	12	多喜多爱（墨河店）
93101656	249	12	美味全牛火锅
93101666	201	1923	叫个牛郎
93101681	255	258	土货进城
93101686	10	183	正宗米线面精
93101696	229	2003	麻辣元素
93101706	184	2124	南京鸭店
93101711	10	183	朵儿小屋
93101736	2164	2046	明洁农家摊馍
93101741	184	2124	百味餐馆
93101751	257	667	红星粮贸
93101786	2165	2110	B果燃
93101801	10	183	浩弟粿条面
93101816	10	2109	清真永富餐馆
93101821	10	1949	桂在香知桂林米粉（乐松店）
93101846	249	179	楼
93101871	184	236	王老四徐州菜馆（农场店）
93101881	2164	2051	红霞清真饭馆
93101891	10	11	肌动健康餐
93101906	30	1911	隆起饭店
93101951	10	183	牛牛面馆
93101956	10	11	轰炸鸡（高德路店）
93101996	10	1949	稻米先生（窑头路店）
