xp.mt_main_poi_id	xp.mt_poi_cate2_id	xp.mt_poi_cate3_id	xp.poi_name
1396	201	244	怪味合焖锅
50607	23	2042	西京居酒屋
55693	315	383	黄记煌三汁焖锅（黄河道店）
61557	229	2001	黄记煌三汁焖锅（万科城店）
68759	23	2042	居酒屋
87415	201	244	黄记煌三汁焖锅（东城世纪店）
231172	201	244	龙轩一品海鲜焖锅
398452	23	2042	日本乌冬居酒屋田野（仙霞路店）
415784	23	2042	花纹居酒屋
418905	23	2042	若葉居酒屋
420043	23	2042	天手古舞居酒屋（武夷路店）
550147	2164	2051	穆斯林三汁焖锅（北塘海鲜店）
552566	229	2001	黄记煌三汁焖锅（塘沽和平路店）
587202	201	244	黄记煌三汁焖锅（永旺泰达店）
588384	229	2001	黄记煌三汁焖锅（天邦店）
601124	23	2042	小田原居酒屋
619218	23	170	红灯笼居酒屋
629466	23	170	红灯笼居酒屋
765600	201	244	黄记煌三汁焖锅（武汉天地店）
797544	229	2001	黄记煌三汁焖锅（新世纪广场店）
843534	23	2042	京都居酒屋（彩虹路店）
1145165	229	2001	黄记煌三汁焖锅（民治店）
1154023	201	244	黄记煌三汁焖锅（万达广场店）
1245419	23	2042	鸟安居酒屋
1275915	229	2001	黄记煌三汁焖锅（华贸店）
1412519	201	244	黄记煌三汁焖锅（安良百货店）
1433966	201	244	黄记煌三汁焖锅（搜秀购物广场店）
1443828	201	244	清御坊三汁焖锅
1448203	229	2001	黄记煌三汁焖锅（百信广场店）
1451888	201	244	土财主三汁焖锅
1453780	201	244	黄记煌三汁焖锅（煌华新纪元店）
1454456	229	2001	黄记煌三汁焖锅（南京东路店）
1480274	201	244	黄记煌三汁焖锅（家乐福店）
1491819	23	2042	乐樱居酒屋
1493661	229	2001	识麻食辣香锅焖锅馆（新佳丽店）
1498297	201	244	品尚品三汁焖锅（南国·首义汇店）
1518039	201	244	过锅瘾三汁焖锅（向阳路店）
1529777	229	2001	御品三汁焖锅
1531042	23	2042	清泽居酒屋（工大店）
1533650	229	2001	巴湘情焖锅
1544604	229	2001	黄记煌三汁焖锅（永旺店）
1555530	229	2001	黄记煌三汁焖锅（观澜店）
1555985	201	244	黄记煌三汁焖锅（北一路万达店）
1559760	201	244	黄记煌三汁焖锅（大东海店）
1570031	201	244	黄记煌三汁焖锅（五四大街大百店）
1577854	23	2042	白木屋居酒屋（百联世茂南京东路店）
1581737	23	317	鸟重居酒屋（南京西路店）
1715510	229	2001	黄记煌三汁焖锅（曜一城店）
1750159	23	2042	菊次郎の夏居酒屋
1846677	201	244	三汁焖锅烫皮羊肉生态火锅
1919884	23	2042	樱花町居酒屋（大唐通易坊店）
1932427	23	2042	大宫日本居酒屋
1936361	175	2007	焖道三汁焖锅（铁西万达店）
1949162	23	2042	千鸟居酒屋
1949240	23	2042	晶吉居酒屋
2012888	229	2003	煌记煌三汁焖锅（桃李街店）
2028717	184	236	正前方皇尚水晶焖锅
2077353	23	2042	风天居酒屋
2085654	201	244	绿茵阁焖锅
